model,dataset,dataset_type,iteration,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,dimensions,emissions_kg,duration,n_parameters,project_id,ready,data_quality_dimension,data_quality_dimension_percentage,experiment_method,datapoint_w,datapoint_h,model_type,experiment
FCN,ChlorineConcentration,time_series,1,0.9453786611557008,0.7502604126930237,0.9453786611557008,1.0,1.0,0.7578918933868408,0.7377604246139526,0.8724957704544067,0.7502604126930237,472,418,0.8950749464668094,467,Sensor,3,1,0.0006471346406494,109.09421253204346,266115,026ed6c4-3ab3-475a-bdb6-f6d8e1cea11e,True,completeness,0.9,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,1,0.8129669427871704,0.6630208492279053,0.8129669427871704,1.0,1.0,0.6925072073936462,0.625781238079071,0.8356342315673828,0.6630208492279053,372,364,0.7794432548179872,467,Sensor,3,1,0.0004505227736968,78.35932421684265,266115,47b94f71-ba42-41a1-8b92-991f84ab3d3e,True,completeness,0.8,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,1,0.7299649715423584,0.7588541507720947,0.7299649715423584,1.0,1.0,0.774219810962677,0.742968738079071,0.8894798755645752,0.7588541507720947,526,338,0.7237687366167024,467,Sensor,3,1,0.0005764356229337,84.62457489967346,266115,ee737d1f-cb25-423c-a3d8-322b55dd9fc6,True,completeness,0.7,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,1,0.9876130223274232,0.4966145753860473,0.9876130223274232,1.0,1.0,0.5146666765213013,0.3518229126930237,0.6931118369102478,0.4966145753860473,283,259,0.5546038543897216,467,Sensor,3,1,0.000251671202458,45.52035331726074,266115,1babe95d-a0c7-401c-b65b-afcf635903a5,True,completeness,0.6,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,1,1.085134744644165,0.5684896111488342,1.085134744644165,1.0,1.0,0.5769439935684204,0.5526041388511658,0.7219003438949585,0.5684896111488342,303,242,0.5182012847965739,467,Sensor,3,1,0.0002588858344745,45.82652425765991,266115,a7954493-6a48-46e8-8ea2-452b320b8554,True,completeness,0.5,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,1,1.1080353260040283,0.6151041388511658,1.1080353260040283,1.0,1.0,0.6272075176239014,0.5919271111488342,0.7834891080856323,0.6151041388511658,455,194,0.4154175588865096,467,Sensor,3,1,0.000309875265552,58.24541115760803,266115,a01a163f-0860-46a2-be13-84b0ebead8f9,True,completeness,0.4,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,1,1.9872938394546509,0.5817708373069763,1.9872938394546509,1.0,1.0,0.5847814679145813,0.5783854126930237,0.756460964679718,0.5817708373069763,898,147,0.3147751605995717,467,Sensor,3,1,0.0005322394490147,104.39696311950684,266115,bba70224-fef9-4e28-a28e-6a5122b6716f,True,completeness,0.3,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,1,1.6732903718948364,0.5684896111488342,1.6732903718948364,1.0,1.0,0.5769540667533875,0.559374988079071,0.7383238077163696,0.5684896111488342,529,102,0.2184154175588865,467,Sensor,3,1,0.0003022832199562,61.21925663948059,266115,db32fafd-fbd9-4205-a17a-c3ce043f2f99,True,completeness,0.2,uniform,166,1,SIMPLE_CNN,e11
RESNET,PhalangesOutlinesCorrect,time_series,1,0.6694040894508362,0.8461538553237915,0.6694040894508362,1.0,1.0,0.8461538553237915,0.8461538553237915,0.8875761032104492,0.8461538553237915,247,1623,0.9016666666666666,1800,Image,2,1,0.0007826735592513,113.38768434524536,506818,3927ae01-e306-430d-9db1-2d490b8cdf00,True,completeness,0.9,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,1,0.8274038434028625,0.806526780128479,0.8274038434028625,1.0,1.0,0.806526780128479,0.806526780128479,0.8717296123504639,0.806526780128479,306,1421,0.7894444444444444,1800,Image,2,1,0.0008454748596503,127.01996803283691,506818,93ab86dd-dd61-4e8e-9b63-945ef361bcfd,True,completeness,0.8,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,1,0.6274723410606384,0.807692289352417,0.6274723410606384,1.0,1.0,0.807692289352417,0.807692289352417,0.8797821998596191,0.807692289352417,334,1251,0.695,1800,Image,2,1,0.0007768079206656,121.28923201560974,506818,5b941828-95d1-4435-8078-9a0394d9977e,True,completeness,0.7,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,1,0.8018909096717834,0.807692289352417,0.8018909096717834,1.0,1.0,0.807692289352417,0.807692289352417,0.8704922795295715,0.807692289352417,360,1055,0.5861111111111111,1800,Image,2,1,0.0007788583072552,115.211660861969,506818,cf88dfff-bfa3-45a8-b533-fdaec4b1f0af,True,completeness,0.6,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,1,0.7251744866371155,0.7902097702026367,0.7251744866371155,1.0,1.0,0.7902097702026367,0.7902097702026367,0.8746678829193115,0.7902097702026367,259,881,0.4894444444444444,1800,Image,2,1,0.000447499428201,74.27097392082214,506818,d2116244-d2f1-489b-aa54-b3b2615ff09c,True,completeness,0.5,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,1,0.8764349818229675,0.7937062978744507,0.8764349818229675,1.0,1.0,0.7937062978744507,0.7937062978744507,0.8601086139678955,0.7937063574790955,315,739,0.4105555555555555,1800,Image,2,1,0.000506611965797,76.84111714363098,506818,fb4c1e24-60bc-4e6c-a9a5-95fcabab0010,True,completeness,0.4,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,1,0.6510028839111328,0.7762237787246704,0.6510028839111328,1.0,1.0,0.7762237787246704,0.7762237787246704,0.8372774720191956,0.7762237191200256,294,513,0.285,1800,Image,2,1,0.0004316698106881,63.75688123703003,506818,21a781cb-5724-4497-83a3-31d25e9524ce,True,completeness,0.3,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,1,0.8875300884246826,0.7692307829856873,0.8875300884246826,1.0,1.0,0.7692307829856873,0.7692307829856873,0.8505564332008362,0.7692307829856873,487,357,0.1983333333333333,1800,Image,2,1,0.0006005213507465,99.1366798877716,506818,074fe009-a965-42cf-aa7f-6e41609d0daa,True,completeness,0.2,uniform,80,1,RESNET,e11
RESNET,StarLightCurves,time_series,1,0.151541531085968,0.9743807911872864,0.151541531085968,1.0,1.0,0.9743807911872864,0.9743807911872864,0.9912623167037964,0.9743807911872864,465,916,0.916,1000,Sensor,3,1,0.0058001538052294,833.9512376785278,506947,9c9b253b-859b-4667-af30-864d3620fd0c,True,completeness,0.9,uniform,1024,1,RESNET,e11
RESNET,StarLightCurves,time_series,1,0.1291441172361374,0.9738950729370116,0.1291441172361374,1.0,1.0,0.9738919138908386,0.9737736582756042,0.9918656349182128,0.9738950729370116,386,803,0.803,1000,Sensor,3,1,0.0042313199064784,612.2683844566345,506947,b6370294-9484-4bf3-96ea-9964e6e554c9,True,completeness,0.8,uniform,1024,1,RESNET,e11
FCN,ChlorineConcentration,time_series,2,0.9860051274299622,0.6895833611488342,0.9860051274299622,1.0,1.0,0.7016875147819519,0.6713541746139526,0.8372950553894043,0.6895833611488342,480,420,0.8993576017130621,467,Sensor,3,1,0.0006645344093304,121.79151463508606,266115,9e78e21f-e001-4cc2-9820-adce35afb9ca,True,completeness,0.9,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,3,0.8767807483673096,0.7700520753860474,0.8767807483673096,1.0,1.0,0.7756613492965698,0.7635416388511658,0.8967129588127136,0.7700520753860474,588,418,0.8950749464668094,467,Sensor,3,1,0.000802343980462,147.5445432662964,266115,3421fdc5-c498-4a20-b99a-cfb5e0560340,True,completeness,0.9,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,2,0.9061711430549622,0.7153645753860474,0.9061711430549622,1.0,1.0,0.7257189154624939,0.6966145634651184,0.861430287361145,0.7153645753860474,481,362,0.7751605995717344,467,Sensor,3,1,0.0005576271266891,100.99171781539916,266115,f1a1c795-c03b-4627-bed3-1f167d685f4f,True,completeness,0.8,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,2,0.9007452726364136,0.6723958253860474,0.9007452726364136,1.0,1.0,0.6946840882301331,0.6499999761581421,0.8268672227859497,0.6723958253860474,396,324,0.6937901498929336,467,Sensor,3,1,0.0004139265188107,76.00473523139954,266115,f4b057f0-2de7-4568-941a-1db7a0544893,True,completeness,0.7,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,2,1.202982783317566,0.6651041507720947,1.202982783317566,1.0,1.0,0.6732885837554932,0.653124988079071,0.8337004780769348,0.6651041507720947,554,276,0.5910064239828694,467,Sensor,3,1,0.0005300563367919,91.90287947654724,266115,e59d69a6-6cda-4f63-9d9a-bfca4295cbd1,True,completeness,0.6,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,2,1.2427643537521362,0.4976562559604645,1.2427643537521362,1.0,1.0,0.5127106308937073,0.4674479067325592,0.6910722851753235,0.4976562559604645,353,239,0.5117773019271948,467,Sensor,3,1,0.0003085700074118,53.84305191040039,266115,45dea7cd-7098-4714-b59d-82a69b8168d9,True,completeness,0.5,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,2,1.0404411554336548,0.4950520694255829,1.0404411554336548,1.0,1.0,0.5267927646636963,0.3481770753860473,0.6886044144630432,0.4950520694255829,380,183,0.3918629550321199,467,Sensor,3,1,0.0002685080301149,49.33525252342224,266115,797f31aa-a8b7-4de1-ab26-27ccc2d1b513,True,completeness,0.4,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,2,1.3034323453903198,0.5403645634651184,1.3034323453903198,1.0,1.0,0.5534307956695557,0.512499988079071,0.7194589972496033,0.5403645634651184,453,127,0.2719486081370449,467,Sensor,3,1,0.0002601238994404,53.90568947792053,266115,4153d2ae-e93d-4807-9ea6-c0b771d72a63,True,completeness,0.3,uniform,166,1,SIMPLE_CNN,e11
FCN,ChlorineConcentration,time_series,2,1.1924399137496948,0.489062488079071,1.1924399137496948,1.0,1.0,0.5185432434082031,0.4041666686534881,0.6515412330627441,0.489062488079071,305,91,0.1948608137044968,467,Sensor,3,1,0.0001604571779362,32.49855399131775,266115,05f341c9-8dca-4047-b720-08e4f14d7a67,True,completeness,0.2,uniform,166,1,SIMPLE_CNN,e11
RESNET,PhalangesOutlinesCorrect,time_series,2,0.8419840335845947,0.7948718070983887,0.8419840335845947,1.0,1.0,0.7948718070983887,0.7948718070983887,0.8657364845275879,0.7948718667030334,262,1624,0.9022222222222224,1800,Image,2,1,0.0008695825277009,125.25695395469666,506818,23418faa-1667-45b6-b7c3-6ff6fc13d14c,True,completeness,0.9,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,2,0.6837063431739807,0.810023307800293,0.6837063431739807,1.0,1.0,0.810023307800293,0.810023307800293,0.8765139579772949,0.810023307800293,255,1423,0.7905555555555556,1800,Image,2,1,0.0006178529574576,90.8346598148346,506818,a728ad0a-72ae-4023-9780-ad55c8b57444,True,completeness,0.8,uniform,80,1,RESNET,e11
RESNET,PhalangesOutlinesCorrect,time_series,2,0.7291172742843628,0.807692289352417,0.7291172742843628,1.0,1.0,0.807692289352417,0.807692289352417,0.885927677154541,0.807692289352417,293,1274,0.7077777777777777,1800,Image,2,1,0.0007589271164947,109.27334761619568,506818,c110cc92-0d31-4c67-85b2-c2d85094cc98,True,completeness,0.7,uniform,80,1,RESNET,e11
