,model,dataset,dataset_type,experiment,iteration,experiment_method,data_quality_dimension,data_quality_dimension_percentage,loss,categorical_accuracy,categorical_crossentropy,top_3_accuracy,top_5_accuracy,precision,recall,auc,f1_score,effective_epochs,used_data_size,actual_data_percentage_used,original_data_size,data_type,num_classes,model_type,datapoint_w,datapoint_h,dimensions,emissions_kg,duration,n_parameters,project_id,ready
75,MLP,CinCECGTorso,time_series,e11,2,uniform,completeness,0.7,1.0640276670455933,0.6050724387168884,1.0640276670455933,0.8260869383811951,1.0,0.6993464231491089,0.5427536368370056,0.8257015347480774,0.6050724387168884,2000,24,0.6,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0008306243606548,179.96928238868713,1323004,ecfc1752-a443-4989-8d35-92e45ad4f46b,True
76,MLP,CinCECGTorso,time_series,e11,2,uniform,completeness,0.6,0.8715158700942993,0.7007246613502502,0.8715158700942993,0.8666666746139526,1.0,0.8174312114715576,0.645652174949646,0.8765061497688293,0.7007246613502502,2000,24,0.6,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0008017296406338,172.464435338974,1323004,a0134df7-1ca6-4b8a-8622-4a88230e2c0e,True
77,MLP,CinCECGTorso,time_series,e11,2,uniform,completeness,0.5,1.413468599319458,0.2688405811786651,1.413468599319458,0.719565212726593,1.0,0.6315789222717285,0.0086956517770886,0.5205719470977783,0.2688405811786651,241,23,0.575,40,Sensor,4,SIMPLE_MLP,1639,1,1,9.135444569800328e-05,19.49899101257324,1323004,bab9d287-b19a-4c8a-8d65-ad71c046d448,True
78,MLP,CinCECGTorso,time_series,e11,2,uniform,completeness,0.4,1.334417700767517,0.4920289814472198,1.334417700767517,0.7956521511077881,1.0,0.5766045451164246,0.4036231935024261,0.7275754809379578,0.4920289814472198,1415,17,0.425,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0006116199598745,131.24922800064087,1323004,98b991d6-f193-45f6-b38b-3c1222e4bc78,True
79,MLP,CinCECGTorso,time_series,e11,2,uniform,completeness,0.3,1.0297396183013916,0.5405797362327576,1.0297396183013916,0.897826075553894,1.0,0.701886773109436,0.4043478369712829,0.8093701004981995,0.5405797362327576,1331,15,0.375,40,Sensor,4,SIMPLE_MLP,1639,1,1,0.0005160677018366,111.88700938224792,1323004,1131b104-98a8-4406-a993-3e3f9325e1d0,True
80,MLP,CinCECGTorso,time_series,e11,2,uniform,completeness,0.2,1.5354007482528689,0.2702898681163788,1.5354007482528689,0.75,1.0,0.2369668185710907,0.0362318828701972,0.4836688637733459,0.2702898681163788,241,6,0.15,40,Sensor,4,SIMPLE_MLP,1639,1,1,4.775581683770343e-05,10.453713178634644,1323004,7f98032a-8e10-4313-acbd-27810bf03c63,True
81,FCN,CinCECGTorso,time_series,e11,3,uniform,completeness,1.0,1.8619780540466309,0.2413043528795242,1.8619780540466309,0.8253623247146606,1.0,0.2670979797840118,0.2094202935695648,0.568561851978302,0.2413043528795242,263,40,1.0,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0002036209181466,31.257344484329224,266244,0d25e8d8-cd04-4a26-a6d7-3a909380b78a,True
82,FCN,CinCECGTorso,time_series,e11,3,uniform,completeness,0.9,1.7511667013168335,0.2434782534837722,1.7511667013168335,0.7557970881462097,1.0,0.3120243549346924,0.1485507190227508,0.5689588189125061,0.2434782534837722,255,37,0.925,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0002129629961512,31.25151538848877,266244,82c0ff02-e1d3-4623-97fc-e9c96ec29287,True
83,FCN,CinCECGTorso,time_series,e11,3,uniform,completeness,0.8,1.2791955471038818,0.4043478369712829,1.2791955471038818,0.8999999761581421,1.0,0.4656212329864502,0.2797101438045501,0.7267763018608093,0.4043478667736053,312,30,0.75,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0002067575486527,31.72731041908264,266244,fc3b5e4f-6ed7-47b6-8ace-0d9bf70483f9,True
84,FCN,CinCECGTorso,time_series,e11,3,uniform,completeness,0.7,1.5072695016860962,0.4079710245132446,1.5072695016860962,0.8797101378440857,1.0,0.4346026480197906,0.3804347813129425,0.7161151170730591,0.4079710245132446,343,27,0.675,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0002472250014122,38.454057693481445,266244,e3821996-2adc-4f3a-84f4-858b6e934c7f,True
85,FCN,CinCECGTorso,time_series,e11,3,uniform,completeness,0.6,1.5789759159088137,0.2398550659418106,1.5789759159088137,0.758695662021637,1.0,0.1795774698257446,0.0369565226137638,0.5501824617385864,0.2398550659418106,260,25,0.625,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0001636452320334,28.93063306808472,266244,c97150fa-6000-40d6-a854-6eec1c4ad10c,True
86,FCN,CinCECGTorso,time_series,e11,3,uniform,completeness,0.5,1.543223857879639,0.2833333313465118,1.543223857879639,0.7789855003356934,1.0,0.3384813368320465,0.1905797123908996,0.5409144163131714,0.2833333313465118,261,18,0.45,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0001768508262148,33.90269899368286,266244,be029bd0-6ae7-44c4-9266-85e7ff23f167,True
87,FCN,CinCECGTorso,time_series,e11,3,uniform,completeness,0.4,1.571313977241516,0.2210144996643066,1.571313977241516,0.752173900604248,1.0,0.0535714291036129,0.0108695654198527,0.4876783490180969,0.2210145145654678,349,12,0.3,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0001683781119258,34.578943967819214,266244,1ddfa4bb-5cd0-49cf-8379-59b2131d60a7,True
88,FCN,CinCECGTorso,time_series,e11,3,uniform,completeness,0.3,1.3856244087219238,0.2710144817829132,1.3856244087219238,0.7362318634986877,1.0,0.0,0.0,0.5335793495178223,0.2710144817829132,243,10,0.25,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0001092464234929,22.07987928390503,266244,44773ebb-6c3b-4d88-90ce-a720d1e0a4e3,True
89,FCN,CinCECGTorso,time_series,e11,3,uniform,completeness,0.2,2.945342302322388,0.2528985440731048,2.945342302322388,0.7681159377098083,1.0,0.2527392208576202,0.2507246434688568,0.4648918509483337,0.2528985440731048,570,10,0.25,40,Sensor,4,SIMPLE_CNN,1639,1,1,0.0002475618626527,49.27441334724426,266244,9b58cf97-9862-46ea-89f7-fd2e3a6356ee,True
90,RESNET,CinCECGTorso,time_series,e11,3,uniform,completeness,1.0,0.8943901658058167,0.7217391133308411,0.8943901658058167,0.9572463631629944,1.0,0.7401086091995239,0.6913043260574341,0.9122798442840576,0.7217391133308411,370,40,1.0,40,Sensor,4,RESNET,1639,1,1,0.0004522909059598,73.58131575584412,507076,451e90cf-3c7e-43e8-9ebf-d8381cee0ad4,True
91,RESNET,CinCECGTorso,time_series,e11,3,uniform,completeness,0.9,1.514153242111206,0.3065217435359955,1.514153242111206,0.8282608985900879,1.0,0.3181272447109222,0.1920289844274521,0.5980990529060364,0.3065217435359955,193,39,0.975,40,Sensor,4,RESNET,1639,1,1,0.0003266603716279,48.3741569519043,507076,0a106718-e81a-4682-b6ee-debaac9d1f75,True
92,RESNET,CinCECGTorso,time_series,e11,3,uniform,completeness,0.8,1.5204204320907593,0.2985507249832153,1.5204204320907593,0.8376811742782593,1.0,0.3066933155059814,0.222463771700859,0.6189274787902832,0.2985507249832153,201,31,0.775,40,Sensor,4,RESNET,1639,1,1,0.0002297788720341,36.430782318115234,507076,f72b3c2f-fc09-45da-a4e2-d8a3ffa760a7,True
93,RESNET,CinCECGTorso,time_series,e11,3,uniform,completeness,0.7,1.399579405784607,0.2449275404214859,1.399579405784607,0.75,1.0,0.0,0.0,0.5023321509361267,0.2449275404214859,181,30,0.75,40,Sensor,4,RESNET,1639,1,1,0.0002296447218762,31.910621881484985,507076,6b72e685-e292-469c-9092-5fcb22a22586,True
94,RESNET,CinCECGTorso,time_series,e11,3,uniform,completeness,0.6,3.0830078125,0.4485507309436798,3.0830078125,0.9427536129951476,1.0,0.4529977738857269,0.4434782564640045,0.7048060297966003,0.4485507309436798,666,28,0.7,40,Sensor,4,RESNET,1639,1,1,0.0009666023076616,152.2720901966095,507076,8a07f7f0-c2c0-439a-98bf-27afae9e84ae,True
95,RESNET,CinCECGTorso,time_series,e11,3,uniform,completeness,0.5,1.380770564079285,0.3028985559940338,1.380770564079285,0.845652163028717,1.0,1.0,0.0014492754125967,0.596365749835968,0.3028985559940338,192,22,0.55,40,Sensor,4,RESNET,1639,1,1,0.0002365741542326,39.14432883262634,507076,3042256f-29a3-4778-ac35-33883d1ab860,True
96,RESNET,CinCECGTorso,time_series,e11,3,uniform,completeness,0.4,3.125514030456543,0.2340579777956009,3.125514030456543,0.7463768124580383,1.0,0.2284678220748901,0.1826086938381195,0.494201511144638,0.2340579777956009,237,14,0.35,40,Sensor,4,RESNET,1639,1,1,0.0002472521058125,40.06233906745911,507076,02a792dd-2123-4583-b71a-aaa5f690f1cf,True
